FECHA,PROVINCIA,TIPO_TRANSPORTE,TOTAL_VIAJES
2024-01-16,JUJUY,COLECTIVO,141967
2024-01-16,LA PAMPA,COLECTIVO,7817
2024-01-16,MENDOZA,COLECTIVO,558798
2024-01-16,NEUQUÉN,COLECTIVO,75366
2024-01-16,RÍO NEGRO,COLECTIVO,58933
2024-01-16,SAN JUAN,COLECTIVO,220209
2024-01-16,SAN LUIS,COLECTIVO,42453
2024-01-16,SANTA CRUZ,COLECTIVO,5657
2024-01-16,SANTA FE,COLECTIVO,346085
2024-01-16,SANTIAGO DEL ESTERO,COLECTIVO,966
2024-01-16,TIERRA DEL FUEGO,COLECTIVO,22063
2024-01-17,BUENOS AIRES,COLECTIVO,4806759
2024-01-17,BUENOS AIRES,LANCHAS,510
2024-01-17,CATAMARCA,COLECTIVO,37309
2024-01-17,CHACO,COLECTIVO,70265
2024-01-17,CHUBUT,COLECTIVO,70008
2024-01-17,CORDOBA,COLECTIVO,3251
2024-01-17,CORRIENTES,COLECTIVO,55058
2024-01-17,ENTRE RÍOS,COLECTIVO,84329
2024-01-17,FORMOSA,COLECTIVO,22414
2024-01-17,JUJUY,COLECTIVO,160010
2024-01-17,LA PAMPA,COLECTIVO,7889
2024-01-17,MENDOZA,COLECTIVO,561447
2024-01-17,NEUQUÉN,COLECTIVO,72015
2024-01-17,RÍO NEGRO,COLECTIVO,59503
2024-01-17,SAN JUAN,COLECTIVO,230614
2024-01-17,SAN LUIS,COLECTIVO,44880
2024-01-17,SANTA CRUZ,COLECTIVO,6269
2024-01-17,SANTA FE,COLECTIVO,493144
2024-01-17,SANTIAGO DEL ESTERO,COLECTIVO,1092
2024-01-17,TIERRA DEL FUEGO,COLECTIVO,23564
2024-01-18,BUENOS AIRES,COLECTIVO,4613533
2024-01-18,BUENOS AIRES,LANCHAS,465
2024-01-18,CATAMARCA,COLECTIVO,35855
2024-01-18,CHACO,COLECTIVO,77242
2024-01-18,CHUBUT,COLECTIVO,64503
2024-01-18,CORDOBA,COLECTIVO,3319
2024-01-18,CORRIENTES,COLECTIVO,62053
2024-01-18,ENTRE RÍOS,COLECTIVO,82571
2024-01-18,FORMOSA,COLECTIVO,21265
2024-01-18,JUJUY,COLECTIVO,169529
2024-01-18,LA PAMPA,COLECTIVO,7584
2024-01-18,MENDOZA,COLECTIVO,554855
2024-01-18,NEUQUÉN,COLECTIVO,73160
2024-01-18,RÍO NEGRO,COLECTIVO,56693
2024-01-18,SAN JUAN,COLECTIVO,225374
2024-01-18,SAN LUIS,COLECTIVO,42907
2024-01-18,SANTA CRUZ,COLECTIVO,6145
2024-01-18,SANTA FE,COLECTIVO,468499
2024-01-18,SANTIAGO DEL ESTERO,COLECTIVO,984
2024-01-18,TIERRA DEL FUEGO,COLECTIVO,23589
2024-01-19,BUENOS AIRES,COLECTIVO,4773439
2024-01-19,BUENOS AIRES,LANCHAS,829
2024-01-19,CATAMARCA,COLECTIVO,36213
2024-01-19,CHACO,COLECTIVO,78338
2024-01-19,CHUBUT,COLECTIVO,66051
2024-01-19,CORDOBA,COLECTIVO,3427
2024-01-19,CORRIENTES,COLECTIVO,62234
2024-01-19,ENTRE RÍOS,COLECTIVO,82859
2024-01-19,FORMOSA,COLECTIVO,20707
2024-01-19,JUJUY,COLECTIVO,150226
2024-01-19,LA PAMPA,COLECTIVO,8013
2024-01-19,MENDOZA,COLECTIVO,569543
2024-01-19,NEUQUÉN,COLECTIVO,77244
2024-01-19,RÍO NEGRO,COLECTIVO,59701
2024-01-19,SAN JUAN,COLECTIVO,231199
2024-01-19,SAN LUIS,COLECTIVO,44657
2024-01-19,SANTA CRUZ,COLECTIVO,5761
2024-01-19,SANTA FE,COLECTIVO,482687
2024-01-19,SANTIAGO DEL ESTERO,COLECTIVO,982
2024-01-19,TIERRA DEL FUEGO,COLECTIVO,22669
2024-01-20,BUENOS AIRES,COLECTIVO,3557907
2024-01-20,BUENOS AIRES,LANCHAS,1020
2024-01-20,CATAMARCA,COLECTIVO,23454
2024-01-20,CHACO,COLECTIVO,53580
2024-01-20,CHUBUT,COLECTIVO,46331
2024-01-20,CORDOBA,COLECTIVO,1418
2024-01-20,CORRIENTES,COLECTIVO,42911
2024-01-20,ENTRE RÍOS,COLECTIVO,53754
2024-01-20,FORMOSA,COLECTIVO,13128
2024-01-20,JUJUY,COLECTIVO,114251
2024-01-20,LA PAMPA,COLECTIVO,4732
2024-01-20,MENDOZA,COLECTIVO,399213
2024-01-20,NEUQUÉN,COLECTIVO,55768
2024-01-20,RÍO NEGRO,COLECTIVO,43881
2024-01-20,SAN JUAN,COLECTIVO,157683
2024-01-20,SAN LUIS,COLECTIVO,26245
2024-01-20,SANTA CRUZ,COLECTIVO,3861
2024-01-20,SANTA FE,COLECTIVO,307340
2024-01-20,SANTIAGO DEL ESTERO,COLECTIVO,589
2024-01-20,TIERRA DEL FUEGO,COLECTIVO,14932
2024-01-21,BUENOS AIRES,LANCHAS,817
2024-01-21,BUENOS AIRES,COLECTIVO,2056842
2024-01-21,CATAMARCA,COLECTIVO,10956
2024-01-21,CHACO,COLECTIVO,33238
2024-01-21,CHUBUT,COLECTIVO,27217
2024-01-21,CORDOBA,COLECTIVO,707
2024-01-21,CORRIENTES,COLECTIVO,26041
2024-01-21,ENTRE RÍOS,COLECTIVO,31870
2024-01-21,FORMOSA,COLECTIVO,6956
2024-01-21,JUJUY,COLECTIVO,58680
2024-01-21,LA PAMPA,COLECTIVO,2163
2024-01-21,MENDOZA,COLECTIVO,227770
2024-01-21,NEUQUÉN,COLECTIVO,34628
2024-01-21,RÍO NEGRO,COLECTIVO,30734
2024-01-21,SAN JUAN,COLECTIVO,87114
2024-01-21,SAN LUIS,COLECTIVO,16179
2024-01-21,SANTA CRUZ,COLECTIVO,2372
2024-01-21,SANTA FE,COLECTIVO,189265
2024-01-21,TIERRA DEL FUEGO,COLECTIVO,8784
2024-01-22,BUENOS AIRES,COLECTIVO,4445023
2024-01-22,BUENOS AIRES,LANCHAS,931
2024-01-22,CATAMARCA,COLECTIVO,34717
2024-01-22,CHACO,COLECTIVO,73142
2024-01-22,CHUBUT,COLECTIVO,64171
2024-01-22,CORDOBA,COLECTIVO,3439
2024-01-22,CORRIENTES,COLECTIVO,60614
2024-01-22,ENTRE RÍOS,COLECTIVO,78755
2024-01-22,FORMOSA,COLECTIVO,20333
2024-01-22,JUJUY,COLECTIVO,158014
2024-01-22,LA PAMPA,COLECTIVO,7370
2024-01-22,MENDOZA,COLECTIVO,528960
2024-01-22,NEUQUÉN,COLECTIVO,68381
2024-01-22,RÍO NEGRO,COLECTIVO,57059
2024-01-22,SAN JUAN,COLECTIVO,196904
2024-01-22,SAN LUIS,COLECTIVO,42353
2024-01-22,SANTA CRUZ,COLECTIVO,6132
2024-01-22,SANTA FE,COLECTIVO,448686
2024-01-22,SANTIAGO DEL ESTERO,COLECTIVO,1026
2024-01-22,TIERRA DEL FUEGO,COLECTIVO,22867
2024-01-23,BUENOS AIRES,LANCHAS,368
2024-01-23,BUENOS AIRES,COLECTIVO,4636865
2024-01-23,CATAMARCA,COLECTIVO,35883
2024-01-23,CHACO,COLECTIVO,75113
2024-01-23,CHUBUT,COLECTIVO,59776
2024-01-23,CORDOBA,COLECTIVO,3695
2024-01-23,CORRIENTES,COLECTIVO,61864
2024-01-23,ENTRE RÍOS,COLECTIVO,81390
2024-01-23,FORMOSA,COLECTIVO,20617
2024-01-23,JUJUY,COLECTIVO,168924
2024-01-23,LA PAMPA,COLECTIVO,7657
2024-01-23,MENDOZA,COLECTIVO,556210
2024-01-23,NEUQUÉN,COLECTIVO,70043
2024-01-23,RÍO NEGRO,COLECTIVO,57044
2024-01-23,SAN JUAN,COLECTIVO,208370
2024-01-23,SAN LUIS,COLECTIVO,43630
2024-01-23,SANTA CRUZ,COLECTIVO,6122
2024-01-23,SANTA FE,COLECTIVO,476982
2024-01-23,SANTIAGO DEL ESTERO,COLECTIVO,1057
2024-01-23,TIERRA DEL FUEGO,COLECTIVO,23547
2024-01-24,BUENOS AIRES,LANCHAS,212
2024-01-24,BUENOS AIRES,COLECTIVO,2716763
2024-01-24,CATAMARCA,COLECTIVO,22919
2024-01-24,CHACO,COLECTIVO,45679
2024-01-24,CHUBUT,COLECTIVO,40733
2024-01-24,CORDOBA,COLECTIVO,3152
2024-01-24,CORRIENTES,COLECTIVO,40688
2024-01-24,ENTRE RÍOS,COLECTIVO,57229
2024-01-24,FORMOSA,COLECTIVO,9046
2024-01-24,JUJUY,COLECTIVO,116818
2024-01-24,LA PAMPA,COLECTIVO,3704
2024-01-24,MENDOZA,COLECTIVO,508247
2024-01-24,NEUQUÉN,COLECTIVO,59723
2024-01-24,RÍO NEGRO,COLECTIVO,37613
2024-01-24,SAN JUAN,COLECTIVO,128487
2024-01-24,SAN LUIS,COLECTIVO,27702
2024-01-24,SANTA CRUZ,COLECTIVO,4382
2024-01-24,SANTA FE,COLECTIVO,286178
2024-01-24,SANTIAGO DEL ESTERO,COLECTIVO,464
2024-01-24,TIERRA DEL FUEGO,COLECTIVO,13618
2024-01-25,BUENOS AIRES,COLECTIVO,4553426
2024-01-25,BUENOS AIRES,LANCHAS,461
2024-01-25,CATAMARCA,COLECTIVO,35389
2024-01-25,CHACO,COLECTIVO,69170
2024-01-25,CHUBUT,COLECTIVO,61163
2024-01-25,CORDOBA,COLECTIVO,3672
2024-01-25,CORRIENTES,COLECTIVO,58119
2024-01-25,ENTRE RÍOS,COLECTIVO,76745
2024-01-25,FORMOSA,COLECTIVO,18115
2024-01-25,JUJUY,COLECTIVO,170274
2024-01-25,LA PAMPA,COLECTIVO,7612
2024-01-25,MENDOZA,COLECTIVO,540675
2024-01-25,NEUQUÉN,COLECTIVO,69003
2024-01-25,RÍO NEGRO,COLECTIVO,55895
2024-01-25,SAN JUAN,COLECTIVO,196896
2024-01-25,SAN LUIS,COLECTIVO,41234
2024-01-25,SANTA CRUZ,COLECTIVO,6442
2024-01-25,SANTA FE,COLECTIVO,471228
2024-01-25,SANTIAGO DEL ESTERO,COLECTIVO,929
2024-01-25,TIERRA DEL FUEGO,COLECTIVO,24108
2024-01-26,BUENOS AIRES,COLECTIVO,4623789
2024-01-26,BUENOS AIRES,LANCHAS,767
2024-01-26,CATAMARCA,COLECTIVO,34914
2024-01-26,CHACO,COLECTIVO,72945
2024-01-26,CHUBUT,COLECTIVO,63779
2024-01-26,CORDOBA,COLECTIVO,3735
2024-01-26,CORRIENTES,COLECTIVO,60029
2024-01-26,ENTRE RÍOS,COLECTIVO,79412
2024-01-26,FORMOSA,COLECTIVO,19279
2024-01-26,JUJUY,COLECTIVO,173166
2024-01-26,LA PAMPA,COLECTIVO,7638
2024-01-26,MENDOZA,COLECTIVO,550032
2024-01-26,NEUQUÉN,COLECTIVO,71091
2024-01-26,RÍO NEGRO,COLECTIVO,55892
2024-01-26,SAN JUAN,COLECTIVO,200723
2024-01-26,SAN LUIS,COLECTIVO,42501
2024-01-26,SANTA CRUZ,COLECTIVO,6428
2024-01-26,SANTA FE,COLECTIVO,472451
2024-01-26,SANTIAGO DEL ESTERO,COLECTIVO,943
2024-01-26,TIERRA DEL FUEGO,COLECTIVO,23744
2024-01-27,BUENOS AIRES,LANCHAS,1034
